first_name	surname	cristin_person_id	name	n
Vegard Fykse	Skirbekk	580029	Vegard Fykse Skirbekk	465
Vegard Øksendal	Haaland	16607	Vegard Øksendal Haaland	466
Venke Arntsberg	Grane	326436	Venke Arntsberg Grane	467
Vera	Rudi	1670869	Vera Rudi	468
Veronica	Exposito	723943	Veronica Exposito	469
Vibeke	Moe	13606	Vibeke Moe	470
Vidar Sandsaunet	Ulset	59441	Vidar Sandsaunet Ulset	471
Vinicius	Rezende Carvalho	1470781	Vinicius Rezende Carvalho	472
Virginia	Conde Ruiz	904095	Virginia Conde Ruiz	473
Wenbo	Yi	1297064	Wenbo Yi	474
Xiaoyu	Lan	1360662	Xiaoyu Lan	475
Yimenu	Yitayih	1250950	Yimenu Yitayih	476
Ylva Østby	Berger	9008	Ylva Østby Berger	477
Yngvild Bjartveit	Haukeland	60856	Yngvild Bjartveit Haukeland	478
Yunpeng	Wang	323373	Yunpeng Wang	479
Yvonne	Severinsen	1360704	Yvonne Severinsen	480
Ziada	Ayorech	1275063	Ziada Ayorech	481
Åshild Lappegard	Hauge	40201	Åshild Lappegard Hauge	482
Øystein	Sørensen	381638	Øystein Sørensen	483
