first_name	surname	cristin_person_id	name	n
Eivind	Ystrøm	11525	Eivind Ystrøm	105
Eivor	Fredriksen	18523	Eivor Fredriksen	106
Elettra	Capogna	1261942	Elettra Capogna	107
Eli	Kindervaag	797405	Eli Kindervaag	108
Elisabeth Adams	Kvam	548009	Elisabeth Adams Kvam	109
Ellen Johanne	Hartmann	22681	Ellen Johanne Hartmann	110
Else-Marie	Augusti	6902	Else-Marie Augusti	111
Emilie Alvarez	Orvik	1539045	Emilie Alvarez Orvik	112
Emilie Lange	Skinstad	1571464	Emilie Lange Skinstad	113
Emily Gabriela	Vira	1434143	Emily Gabriela Vira	114
Erica	Zahl	951573	Erica Zahl	115
Erik	Carlquist	15657	Erik Carlquist	116
Erik	Hessen	8069	Erik Hessen	117
Erik	Stänicke	13462	Erik Stänicke	118
Erik Kjos	Fonn	657247	Erik Kjos Fonn	119
Erik Rimestad	Frogner	1045220	Erik Rimestad Frogner	120
Erkki	Heinonen	1137603	Erkki Heinonen	121
Espen	Bjerke	10573	Espen Bjerke	122
Espen	Røysamb	22170	Espen Røysamb	123
Espen Moen	Eilertsen	520778	Espen Moen Eilertsen	124
Esten Høyland	Leonardsen	500357	Esten Høyland Leonardsen	125
Euryph Line Solheim	Kvamme	1169042	Euryph Line Solheim Kvamme	126
Eva Elisabeth Aspaas	Skoe	21747	Eva Elisabeth Aspaas Skoe	127
Eva Karin	Axelsen	24351	Eva Karin Axelsen	128
Evalill	Bølstad	14605	Evalill Bølstad	129
Evelin Gerda	Lindner	601	Evelin Gerda Lindner	130
Even Sogn	Andersen	428751	Even Sogn Andersen	131
Evita Willemiek	van Duin	1465396	Evita Willemiek van Duin	132
Fanny	Duckert	24320	Fanny Duckert	133
Fartein Ask	Torvik	998	Fartein Ask Torvik	134
Finn	Tschudi	9153	Finn Tschudi	135
Francesco	Margoni	1241788	Francesco Margoni	136
Francisco Maria	Pons Piulats	6204	Francisco Maria Pons Piulats	137
Frank	Larøi	748796	Frank Larøi	138
Frederik Ferstad	Skoe	1504855	Frederik Ferstad Skoe	139
Fredrik	Cappelen	1021837	Fredrik Cappelen	140
Gaute	Godager	5715	Gaute Godager	141
Geir	Løkling	988011	Geir Løkling	142
Geir	Overskeid	23467	Geir Overskeid	143
Genevieve	Richard	554342	Genevieve Richard	144
Gernot Walter	Ernst	5058	Gernot Walter Ernst	145
Gina	Åsbø	1277052	Gina Åsbø	146
Giulia	Barresi	1566329	Giulia Barresi	147
Guido	Biele	1937	Guido Biele	148
Gulnaz	Anjum	1408362	Gulnaz Anjum	149
Gunn Karin	Holt	19494	Gunn Karin Holt	150
Guro Brokke	Omland	18531	Guro Brokke Omland	151
Guro Charlotte Teig	Øiestad	3057	Guro Charlotte Teig Øiestad	152
Guro Engvig	Løseth	388003	Guro Engvig Løseth	153
Haagen Klundby	Kierulf	1641620	Haagen Klundby Kierulf	154
Haakon Gabrielsen	Engen	8646	Haakon Gabrielsen Engen	155
Haghish	Ebad Fardzadeh	1269582	Haghish Ebad Fardzadeh	156
Hanna Lovise	Sargénius	608726	Hanna Lovise Sargénius	157
Hanna Paalgard	Munden	861685	Hanna Paalgard Munden	158
Hanne	Haavind	22968	Hanne Haavind	159
Hanne	Strømme	15073	Hanne Strømme	160
Hanne Berit Weie	Oddli	9773	Hanne Berit Weie Oddli	161
Hanne Netland	Simonsen	1021826	Hanne Netland Simonsen	162
Hanne Selvåg	Holtan	1425252	Hanne Selvåg Holtan	163
Hanne Torvund	Minde	843561	Hanne Torvund Minde	164
Hanne-Sofie Johnsen	Dahl	9481	Hanne-Sofie Johnsen Dahl	165
Hans Jakob	Bøe	42345	Hans Jakob Bøe	166
Harald	Engvik	23566	Harald Engvik	167
Harald	Lenz	12819	Harald Lenz	168
Hedda Tvedten	Ness	793963	Hedda Tvedten Ness	169
Heemin	Kang	1408349	Heemin Kang	170
Heidi Marie Umbach	Hansen	515501	Heidi Marie Umbach Hansen	171
Helene Amundsen	Nissen-Lie	12722	Helene Amundsen Nissen-Lie	172
Helga	Ask	5053	Helga Ask	173
Henning	Bang	21999	Henning Bang	174
Henrik Børsting	Jacobsen	306432	Henrik Børsting Jacobsen	175
Henrik Haaland	Jahren	1504807	Henrik Haaland Jahren	176
Hilde Eileen	Nafstad	22622	Hilde Eileen Nafstad	177
Hilde Kristin	Flata	1360728	Hilde Kristin Flata	178
Huma	Saadat	1504828	Huma Saadat	179
Håkon	Grydeland	8433	Håkon Grydeland	180
Håvar	Brendryen	13054	Håvar Brendryen	181
Ida Marie Smedbakken	Hov	1504867	Ida Marie Smedbakken Hov	182
Ida Stange	Bernhardt	619129	Ida Stange Bernhardt	183
Ida Therese	Tidemann	405560	Ida Therese Tidemann	184
Inge	Amlien	10239	Inge Amlien	185
Ingela Lundin	Kvalem	23681	Ingela Lundin Kvalem	186
Ingunn Olea	Lund	841	Ingunn Olea Lund	187
Ingvil Laberg	Holthe	1021818	Ingvil Laberg Holthe	188
Ingvild	Finsrud	571554	Ingvild Finsrud	189
Ingvild	Haugen	842499	Ingvild Haugen	190
Ingvild	Tistløv Stjernen	1408357	Ingvild Tistløv Stjernen	191
Irene	Voldsbekk	808055	Irene Voldsbekk	192
Irene Johanna Elisabeth	Teulings	1636782	Irene Johanna Elisabeth Teulings	193
Ivar Reinholt	Reinvang	22873	Ivar Reinholt Reinvang	194
Jacob	Evje	1623190	Jacob Evje	195
James Michael	Roe	576689	James Michael Roe	196
Jan	Smedslund	640	Jan Smedslund	197
Jan Egil	Stubberud	323099	Jan Egil Stubberud	198
Jan Josef	Mikaelsson	1504493	Jan Josef Mikaelsson	199
Jan Karol	Wiecha	1504811	Jan Karol Wiecha	200
Jan Ole	Hesselberg	1180086	Jan Ole Hesselberg	201
Janita Flem	Tomren	1504818	Janita Flem Tomren	202
Jasmin	Richter	1318647	Jasmin Richter	203
Jasmina	Burdzovic	606646	Jasmina Burdzovic	204
Jenny Frøysa	Brun	1504872	Jenny Frøysa Brun	205
Jens	Egeland	7883	Jens Egeland	206
Jinrui	Liu	1560115	Jinrui Liu	207
Joakim Coleman	Ebeltoft	1511123	Joakim Coleman Ebeltoft	208
Joakim Haugane	Zahl	781632	Joakim Haugane Zahl	209
Joar	Vittersø	37773	Joar Vittersø	210
Jon Martin	Sundet	24703	Jon Martin Sundet	211
Jon Trygve	Monsen	24640	Jon Trygve Monsen	212
Jonas	Kransberg	1178426	Jonas Kransberg	213
Jonas R.	Kunst	420315	Jonas R. Kunst	214
Joyce Anthonia	Ojokojo	1325340	Joyce Anthonia Ojokojo	215
Jugoslav	Ivanovic	529050	Jugoslav Ivanovic	216
Julia	Kropiunig	1408387	Julia Kropiunig	217
Juliana Jia Yu	Zhang	1383374	Juliana Jia Yu Zhang	218
Julianne	Johnsen	1539942	Julianne Johnsen	219
Julien	Mayor	799114	Julien Mayor	220
June Ullevoldsæter	Lystad	3915	June Ullevoldsæter Lystad	221
Kaja Bøyesen	Liebenberg	1071524	Kaja Bøyesen Liebenberg	222
Kari	Graver	547930	Kari Graver	223
Kari	Vigeland	7170	Kari Vigeland	224
Kari Evelin Arellano	Lorentzen	1322648	Kari Evelin Arellano Lorentzen	225
KariAnne	Vrabel	56105	KariAnne Vrabel	226
Karin	Fossheim	555302	Karin Fossheim	227
Karin	Hammerfald	1412691	Karin Hammerfald	228
Karin Bugge	Vatne	795673	Karin Bugge Vatne	229
Karine	Lindholm	1465395	Karine Lindholm	230
Karine Porpino	Viana	433588	Karine Porpino Viana	231
Karl Halvor	Teigen	23922	Karl Halvor Teigen	232
Katharina Nymo	Engelstad	466875	Katharina Nymo Engelstad	233
Kathrine Allende	Sundsbarm	1636195	Kathrine Allende Sundsbarm	234
Kim Edgar	Karlsen	449627	Kim Edgar Karlsen	235
Kine Gjerstad	Eide	618644	Kine Gjerstad Eide	236
Kinga	Bierwiaczonek	1261941	Kinga Bierwiaczonek	237
Kirsten	Benum	15113	Kirsten Benum	238
Kjell Johan	Håseth	21652	Kjell Johan Håseth	239
Kjell-Magne	Flekkøy	22303	Kjell-Magne Flekkøy	240
Kjetil Søren	Sundet	6449	Kjetil Søren Sundet	241
Knut Arne	Hagtvet	21783	Knut Arne Hagtvet	242
Knut Arne Hooper	Storeide	1525275	Knut Arne Hooper Storeide	243
Knut Eiliv Ødegård	Øverbye	379227	Knut Eiliv Ødegård Øverbye	244
Knut Erik	Duna	1504868	Knut Erik Duna	245
Knut Inge	Fostervold	22357	Knut Inge Fostervold	246
Knut Ivar	Karevold	6411	Knut Ivar Karevold	247
Knut-André	Skaug	809071	Knut-André Skaug	248
Kolbjørn Berg	Kveim	21666	Kolbjørn Berg Kveim	249
Krister Westlye	Fjermestad	46949	Krister Westlye Fjermestad	250
Kristin	Audunsdottir	1231331	Kristin Audunsdottir	251
Kristin	Gustavson	3760	Kristin Gustavson	252
Kristin	Martinsen	428199	Kristin Martinsen	253
Kristin	Samuelsen	915002	Kristin Samuelsen	254
Kristina	Kymre	1340750	Kristina Kymre	255
Kristine Beate	Walhovd	22265	Kristine Beate Walhovd	256
Kristine Løkås	Haftorn	1005355	Kristine Løkås Haftorn	257
Kristine Moe	Ulrichsen	815957	Kristine Moe Ulrichsen	258
Kristoffer James	Whittaker	1046682	Kristoffer James Whittaker	259
Lars	Smith	24078	Lars Smith	260
Lars Erik	Nyberg	46667	Lars Erik Nyberg	261
Lars Tjelta	Westlye	18517	Lars Tjelta Westlye	262
Laura	Cortes Garcia	1287347	Laura Cortes Garcia	263
Laura Vom	Kolke	1632561	Laura Vom Kolke	264
Leigh Daniel	Murray	988633	Leigh Daniel Murray	265
Lia	Ferschmann	525840	Lia Ferschmann	266
Liisa	Raud	744155	Liisa Raud	267
Lilian Juliane	Kozlowski Mayerhofer	1318603	Lilian Juliane Kozlowski Mayerhofer	268
Liliana	Buer	703201	Liliana Buer	269
Lillis Marie-Louise Elisabeth	Rabbing	749008	Lillis Marie-Louise Elisabeth Rabbing	270
Lina	El-Agroudi	1662436	Lina El-Agroudi	271
Linda Josefine Aas	Haugen	1186249	Linda Josefine Aas Haugen	272
Linda Moraa	Nyanchoka	540981	Linda Moraa Nyanchoka	273
Line	Folvik	664677	Line Folvik	274
Line Cecilie	Gjerde	5821	Line Cecilie Gjerde	275
Line Indrevoll	Stänicke	393532	Line Indrevoll Stänicke	276
Linn Christin Bonaventure	Norbom	618531	Linn Christin Bonaventure Norbom	277
Linn Renate Sjøveian	Lindseth	395530	Linn Renate Sjøveian Lindseth	278
Linne	Melsom	474304	Linne Melsom	279
Liv Else	Aalen	340413	Liv Else Aalen	280
Liva Jenny	Martinussen	1021944	Liva Jenny Martinussen	281
Live	Landmark	1213071	Live Landmark	282
Live Skow	Hofgaard	1159016	Live Skow Hofgaard	283
Lotte	Thomsen	512246	Lotte Thomsen	284
Ludvig Daae	Bjørndal	1281674	Ludvig Daae Bjørndal	285
Luis Eduardo	Munoz	1368927	Luis Eduardo Munoz	286
Lynn	Skei	1680169	Lynn Skei	287
Madelene Christin	Holm	1318645	Madelene Christin Holm	288
Madelene Christin	Holm	1360632	Madelene Christin Holm	289
Mads Lund	Pedersen	428663	Mads Lund Pedersen	290
Magnus Hole	Fjetland	1457883	Magnus Hole Fjetland	291
Maja Dyhre	Foldal	690105	Maja Dyhre Foldal	292
Maren Kristin	Nysæter	1623188	Maren Kristin Nysæter	293
Margrete Soya	Heimvik	1539049	Margrete Soya Heimvik	294
Margrethe	Hansen	884888	Margrethe Hansen	295
Margrethe Seeger	Halvorsen	24656	Margrethe Seeger Halvorsen	296
Mari	Gakkestad	594175	Mari Gakkestad	297
Maria	Ordovas-Montanes	1504847	Maria Ordovas-Montanes	298
Maria	Stavrinou	451221	Maria Stavrinou	299
Maria Cecilie	Forsmo	1630679	Maria Cecilie Forsmo	300
Maria Stylianou	Korsnes	17620	Maria Stylianou Korsnes	301
Maria Teresa Grønning	Dale	4800	Maria Teresa Grønning Dale	302
Maria Vinje	Dodson	560699	Maria Vinje Dodson	303
Marianne	Andersen	428631	Marianne Andersen	304
Marianne	Løvstad	8073	Marianne Løvstad	305
Marianne Skogbrott	Birkeland	49660	Marianne Skogbrott Birkeland	306
Marie	Eikemo	306061	Marie Eikemo	307
Marie	Velde	1504802	Marie Velde	308
Marie Lorentsen	Strømstad	999971	Marie Lorentsen Strømstad	309
Marieke A.	Helmich	1425408	Marieke A. Helmich	310
Marit	Lobben	1859	Marit Lobben	311
Marit	Råbu	9865	Marit Råbu	312
Marius Hafstad	Duhovic	1258679	Marius Hafstad Duhovic	313
Markus	Sanden	1606874	Markus Sanden	314
Markus Handal	Sneve	8459	Markus Handal Sneve	315
Martin	Matre	11898	Martin Matre	316
Martin Ostenfeldt	Trøstheim	1182068	Martin Ostenfeldt Trøstheim	317
Martine Kaarbø	Moen	1623191	Martine Kaarbø Moen	318
Mathias	Valstad	596783	Mathias Valstad	319
Mathilde Hallingstad	Prenevost	817650	Mathilde Hallingstad Prenevost	320
Maud	Edvoll	1230196	Maud Edvoll	321
Max	Korbmacher	1355087	Max Korbmacher	322
Mehmet	Çetin	1539056	Mehmet Çetin	323
Merete Glenne	Øie	398385	Merete Glenne Øie	324
Merve	Akca	883235	Merve Akca	325
Michael Helge	Rønnestad	22896	Michael Helge Rønnestad	326
Michal	Kozák	786145	Michal Kozák	327
Mikkel	Glimsdal	1504812	Mikkel Glimsdal	328
Milan	Obaidi	1110312	Milan Obaidi	329
Milan	Obaidi	1408643	Milan Obaidi	330
Milena	Nikolic	1360746	Milena Nikolic	331
Molly	Carlyle	1408358	Molly Carlyle	332
Mona	Bekkhus	6959	Mona Bekkhus	333
Monica Beer	Prydz	1258345	Monica Beer Prydz	334
Morten	Eikeland	1504801	Morten Eikeland	335
Morten	Skiaker	1318696	Morten Skiaker	336
Mudassar	Aziz	1515558	Mudassar Aziz	337
Nantje	Fischer	798667	Nantje Fischer	338
Nicole Tamara Angelika	Merz	1553307	Nicole Tamara Angelika Merz	339
Nikolai Haahjem	Eftedal	618532	Nikolai Haahjem Eftedal	340
Nikolai Olavi	Czajkowski	12828	Nikolai Olavi Czajkowski	341
Nils Eivind Holth	Landrø	1021947	Nils Eivind Holth Landrø	342
Nils Inge	Landrø	22060	Nils Inge Landrø	343
Nina Emilie Varjola	Hatlevoll	1452660	Nina Emilie Varjola Hatlevoll	344
Nina Mareen	Junker	1318617	Nina Mareen Junker	345
Nora	Auråker	1656885	Nora Auråker	346
Nora	Sveaass	19099	Nora Sveaass	347
Nora Cornelia Glerud	Benningstad	1182115	Nora Cornelia Glerud Benningstad	348
Nora Nord	Rydningen	331697	Nora Nord Rydningen	349
Nora Paulsen	Skjerdingstad	1375304	Nora Paulsen Skjerdingstad	350
Nora Rose	Serres	1504816	Nora Rose Serres	351
Odd Arne	Tjersland	23111	Odd Arne Tjersland	352
Olav	Kneppen	389547	Olav Kneppen	353
